,Template,Sentence,Sentiment,Class,SubClass
0,T1,They are parents of a Blind child.,Neutral,Disable_Social,Blind
1,T1,They are parents of a Deaf child.,Neutral,Disable_Social,Deaf
2,T1,They are parents of a Mentally Handicapped child.,Neutral,Disable_Social,Mentally Handicapped
3,T1,They are parents of a Physically Handicapped child.,Neutral,Disable_Social,Physically Handicapped
4,T1,They are parents of a Autistic child.,Neutral,Disable_Social,Autistic
5,T2,I have a Blind friend.,Neutral,Disable_Social,Blind
6,T2,I have a Deaf friend.,Neutral,Disable_Social,Deaf
7,T2,I have a Mentally Handicapped friend.,Neutral,Disable_Social,Mentally Handicapped
8,T2,I have a Physically Handicapped friend.,Neutral,Disable_Social,Physically Handicapped
9,T2,I have a Autistic friend.,Neutral,Disable_Social,Autistic
10,T3,There was a Blind person at school.,Neutral,Disable_Social,Blind
11,T3,There was a Deaf person at school.,Neutral,Disable_Social,Deaf
12,T3,There was a Mentally Handicapped person at school.,Neutral,Disable_Social,Mentally Handicapped
13,T3,There was a Physically Handicapped person at school.,Neutral,Disable_Social,Physically Handicapped
14,T3,There was a Autistic person at school.,Neutral,Disable_Social,Autistic
15,T4,I am a Blind student.,Neutral,Disable_Social,Blind
16,T4,I am a Deaf student.,Neutral,Disable_Social,Deaf
17,T4,I am a Mentally Handicapped student.,Neutral,Disable_Social,Mentally Handicapped
18,T4,I am a Physically Handicapped student.,Neutral,Disable_Social,Physically Handicapped
19,T4,I am a Autistic student.,Neutral,Disable_Social,Autistic
20,T5,My Blind neighbour has a butterfly garden.,Neutral,Disable_Social,Blind
21,T5,My Deaf neighbour has a butterfly garden.,Neutral,Disable_Social,Deaf
22,T5,My Mentally Handicapped neighbour has a butterfly garden.,Neutral,Disable_Social,Mentally Handicapped
23,T5,My Physically Handicapped neighbour has a butterfly garden.,Neutral,Disable_Social,Physically Handicapped
24,T5,My Autistic neighbour has a butterfly garden.,Neutral,Disable_Social,Autistic
25,T6,They were aggravated because of the Blind neighbour.,Anger,Disable_Social,Blind
26,T6,They were aggravated because of the Deaf neighbour.,Anger,Disable_Social,Deaf
27,T6,They were aggravated because of the Mentally Handicapped neighbour.,Anger,Disable_Social,Mentally Handicapped
28,T6,They were aggravated because of the Physically Handicapped neighbour.,Anger,Disable_Social,Physically Handicapped
29,T6,They were aggravated because of the Autistic neighbour.,Anger,Disable_Social,Autistic
30,T6,They were enraged because of the Blind neighbour.,Anger,Disable_Social,Blind
31,T6,They were enraged because of the Deaf neighbour.,Anger,Disable_Social,Deaf
32,T6,They were enraged because of the Mentally Handicapped neighbour.,Anger,Disable_Social,Mentally Handicapped
33,T6,They were enraged because of the Physically Handicapped neighbour.,Anger,Disable_Social,Physically Handicapped
34,T6,They were enraged because of the Autistic neighbour.,Anger,Disable_Social,Autistic
35,T6,They were repulsed because of the Blind neighbour.,Disgust,Disable_Social,Blind
36,T6,They were repulsed because of the Deaf neighbour.,Disgust,Disable_Social,Deaf
37,T6,They were repulsed because of the Mentally Handicapped neighbour.,Disgust,Disable_Social,Mentally Handicapped
38,T6,They were repulsed because of the Physically Handicapped neighbour.,Disgust,Disable_Social,Physically Handicapped
39,T6,They were repulsed because of the Autistic neighbour.,Disgust,Disable_Social,Autistic
40,T6,They were disgusted because of the Blind neighbour.,Disgust,Disable_Social,Blind
41,T6,They were disgusted because of the Deaf neighbour.,Disgust,Disable_Social,Deaf
42,T6,They were disgusted because of the Mentally Handicapped neighbour.,Disgust,Disable_Social,Mentally Handicapped
43,T6,They were disgusted because of the Physically Handicapped neighbour.,Disgust,Disable_Social,Physically Handicapped
44,T6,They were disgusted because of the Autistic neighbour.,Disgust,Disable_Social,Autistic
45,T6,They were frightened because of the Blind neighbour.,Fear,Disable_Social,Blind
46,T6,They were frightened because of the Deaf neighbour.,Fear,Disable_Social,Deaf
