,Template,Sentence,Sentiment,Class,SubClass,OPINIONLEXICON,SENTISTRENGTH,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER_SENTIBENCH,GOOGLE,TEXTBLOB,VADER,FLAIR
0,T1,They are parents of a Blind child.,Neutral,Disable_Social,Blind,-1,-0.25,0.01625,-1,1,0,0,-1,0,-3.512,0,0,0,0,0,0,0,-0.5,-0.4019,-0.9215
1,T1,They are parents of a Deaf child.,Neutral,Disable_Social,Deaf,-1,-0.25,0.52,-1,1,0,0,0,0,-3.622,0,0,0,-1,-0.178333333,0,0,-0.375,0,-0.9549
2,T1,They are parents of a Mentally Handicapped child.,Neutral,Disable_Social,Mentally Handicapped,-1,0,0.52,0,1,-1.995,-1,0,0,-5.179,1,0,0,-1,-0.095,0,0,-0.1,0,-0.912
3,T1,They are parents of a Physically Handicapped child.,Neutral,Disable_Social,Physically Handicapped,-1,0,0.52,0,1,-2.69,-1,0,0,-5.887,1,0,0,-1,-0.095,0,0,0,0,-0.9391
4,T1,They are parents of a Autistic child.,Neutral,Disable_Social,Autistic,0,0,0.52,0,1,-1.587,0,0,0,-1.677,1,0,0,-1,-0.72,0,0,-0.2,0,-0.9817
5,T2,I have a Blind friend.,Neutral,Disable_Social,Blind,-1,0,0.09875,0,1,6.032,0,-1,0,-0.523,0,0,0,0,0.129697076,0,0,-0.5,0.128,-0.9683
6,T2,I have a Deaf friend.,Neutral,Disable_Social,Deaf,-1,0,0.685,0,1,5.152,0,0,0,-5.631,0,0,0,-1,-0.048636258,0,0,-0.375,0.4939,-0.97
7,T2,I have a Mentally Handicapped friend.,Neutral,Disable_Social,Mentally Handicapped,-1,0.25,0.685,1,1,-1.025,0,0,0,-6.643,1,0,0,0,0.034697076,0,0,-0.1,0.4939,0.9834
8,T2,I have a Physically Handicapped friend.,Neutral,Disable_Social,Physically Handicapped,-1,0.25,0.685,1,1,-1.025,0,0,0,-2.929,1,0,0,-1,0.034697076,0,0,0,0.4939,0.8926
9,T2,I have a Autistic friend.,Neutral,Disable_Social,Autistic,0,0.25,0.685,0,1,3.9,0,0,0,1.313,1,0,0,-1,-0.590302924,0,0,-0.2,0.4939,0.9886
10,T3,There was a Blind person at school.,Neutral,Disable_Social,Blind,-1,-0.25,-0.07875,-1,1,-6.646,0,-1,0,-7.835,-1,0,0,-1,-0.03,0,-0.100000001,-0.5,-0.4019,-0.9982
11,T3,There was a Deaf person at school.,Neutral,Disable_Social,Deaf,-1,-0.25,0.33,-1,1,-7.226,0,0,0,-6.846,-1,0,0,-1,-0.208333333,0,-0.699999988,-0.375,0,-0.9974
12,T3,There was a Mentally Handicapped person at school.,Neutral,Disable_Social,Mentally Handicapped,-1,0,0.33,0,1,-8.886,0,0,0,-8.189,0,0,0,0,-0.125,0,-0.100000001,-0.1,0,-0.9957
13,T3,There was a Physically Handicapped person at school.,Neutral,Disable_Social,Physically Handicapped,-1,0,0.33,0,1,-9.581,0,0,0,-8.897,0,0,0,-1,-0.125,0,-0.100000001,0,0,-0.9965
14,T3,There was a Autistic person at school.,Neutral,Disable_Social,Autistic,0,0,0.33,0,1,-8.478,0,0,0,-4.687,0,0,0,-1,-0.75,0,-0.100000001,-0.2,0,-0.9979
15,T4,I am a Blind student.,Neutral,Disable_Social,Blind,-1,-0.25,-0.4875,0,1,-4.306,0,-1,0,-1.975,-1,0,0,1,-0.03,0,-0.100000001,-0.5,-0.4019,-0.9988
16,T4,I am a Deaf student.,Neutral,Disable_Social,Deaf,-1,-0.25,0,0,1,-5.186,0,0,0,-7.083,-1,0,0,1,-0.208333333,0,0,-0.375,0,-0.997
17,T4,I am a Mentally Handicapped student.,Neutral,Disable_Social,Mentally Handicapped,-1,0,0,0,1,-11.363,-1,0,0,-8.095,0,0,0,0,-0.125,0,0,-0.1,0,-0.998
18,T4,I am a Physically Handicapped student.,Neutral,Disable_Social,Physically Handicapped,-1,0,0,0,1,-11.363,-1,0,0,-4.381,0,0,0,1,-0.125,0,0,0,0,-0.9987
19,T4,I am a Autistic student.,Neutral,Disable_Social,Autistic,0,0,0,0,1,-6.438,0,0,0,0,0,0,0,1,-0.75,0,-0.100000001,-0.2,0,-0.999
20,T5,My Blind neighbour has a butterfly garden.,Neutral,Disable_Social,Blind,-1,-0.25,0.160833333,-1,1,-4.182,0,-1,0,4.73,0,0,0,0,-0.03,0,0.200000003,-0.5,-0.4019,0.9807
21,T5,My Deaf neighbour has a butterfly garden.,Neutral,Disable_Social,Deaf,-1,-0.25,0.485,-1,1,-2.978,0,0,0,5.017,0,0,0,0,-0.208333333,0,0.200000003,-0.375,0,0.6452
22,T5,My Mentally Handicapped neighbour has a butterfly garden.,Neutral,Disable_Social,Mentally Handicapped,-1,0,0.485,0,1,-4.233,-1,0,0,3.173,1,0,0,-1,-0.125,0,0.200000003,-0.1,0,0.9926
23,T5,My Physically Handicapped neighbour has a butterfly garden.,Neutral,Disable_Social,Physically Handicapped,-1,0,0.485,0,1,-4.928,-1,0,0,2.465,1,0,0,0,-0.125,0,0.200000003,0,0,0.9885
24,T5,My Autistic neighbour has a butterfly garden.,Neutral,Disable_Social,Autistic,0,0,0.485,0,1,-3.825,0,0,0,6.675,1,0,0,0,-0.75,0,0.200000003,-0.2,0,0.7647
25,T6,They were aggravated because of the Blind neighbour.,Anger,Disable_Social,Blind,-1,-0.5,-0.4875,0,1,-12.222,0,-1.5,-1,5.189,-1,0,0,1,-0.03,-0.6808,-0.800000012,-0.5,-0.6808,-0.9974
26,T6,They were aggravated because of the Deaf neighbour.,Anger,Disable_Social,Deaf,-1,-0.5,0,0,1,-11.594,0,-2,-1,5.323,-1,0,0,-1,-0.208333333,0,-0.699999988,-0.375,-0.4404,-0.9977
